ID,Name,Spec,ImageURL,ProductURL
67371317,"Seagate BarraCuda Pro 7200/256M/해외구매 (6TB, ST6000DM004)","HDD (PC용)/8.9cm(3.5인치)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/220MB/s/기록방식:CMR(PMR)/두께:26mm/소음(유휴/탐색):24/27dB/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/317/371/img/67371317_1.jpg,https://prod.danawa.com/info/?pcode=67371317
15687641,"도시바 X300 Refresh 7200/256M (6TB, HDWR460)","HDD (PC용)/8.9cm(3.5인치)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/기록방식:CMR(PMR)/두께:26.1mm/DSA/사용보증:60만시간/소음(유휴/탐색):31dB/A/S 정보:2년",https://img.danawa.com/prod_img/500000/641/687/img/15687641_1.jpg,https://prod.danawa.com/info/?pcode=15687641
6054164,"Western Digital WD BLACK 7200/256M (6TB, WD6003FZBX)","HDD (PC용)/8.9cm(3.5인치)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/227MB/s/기록방식:CMR(PMR)/두께:26.1mm/소음(유휴/탐색):29/36dB/A/S 정보:5년",https://img.danawa.com/prod_img/500000/164/054/img/6054164_1.jpg,https://prod.danawa.com/info/?pcode=6054164
7533853,"Seagate BarraCuda 7200/256M/해외구매 (2TB, ST2000DM008)","HDD (PC용)/8.9cm(3.5인치)/2TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/220MB/s/기록방식:SMR(PMR)/두께:20.2mm/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/853/533/img/7533853_1.jpg,https://prod.danawa.com/info/?pcode=7533853
5639088,"Seagate BarraCuda Pro 7200/256M/해외구매 (10TB, ST10000DM0004)","HDD (PC용)/8.9cm(3.5인치)/10TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/기록방식:CMR(PMR)/두께:26.11mm/헬륨충전/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/088/639/img/5639088_1.jpg,https://prod.danawa.com/info/?pcode=5639088
9721404,"Seagate BarraCuda 5400/256M/해외구매 (6TB, ST6000DM003)","HDD (PC용)/8.9cm(3.5인치)/6TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/185MB/s/기록방식:SMR(PMR)/두께:26.11mm/소음(유휴/탐색):23/25dB/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/404/721/img/9721404_1.jpg,https://prod.danawa.com/info/?pcode=9721404
13659284,"Western Digital WD Blue 5400/256M/해외구매 (4TB, WD40EZAZ)","HDD (PC용)/8.9cm(3.5인치)/4TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/180MB/s/기록방식:SMR(PMR)/두께:26.1mm/소음(유휴/탐색):23/27dB/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/284/659/img/13659284_1.jpg,https://prod.danawa.com/info/?pcode=13659284
78999002,"Seagate BarraCuda 7200/512M/해외구매 (24TB, ST24000DM001)","HDD (PC용)/8.9cm(3.5인치)/24TB/SATA3 (6Gb/s)/7,200RPM/메모리 512MB/190MB/s/기록방식:CMR(PMR)/두께:26.1mm",https://img.danawa.com/prod_img/500000/002/999/img/78999002_1.jpg,https://prod.danawa.com/info/?pcode=78999002
19948424,"Western Digital WD Blue 5400/256M/해외구매 (6TB, WD60EZAX)","HDD (PC용)/8.9cm(3.5인치)/6TB/SATA3(6Gb/s)/5,400RPM/메모리 256MB/180MB/s/기록방식:CMR(PMR)/두께:26.1mm/소음(유휴/탐색):23/27dB/해외상품은 브랜드명 등 판매처별 상품 정보 확인 요망",https://img.danawa.com/prod_img/500000/424/948/img/19948424_1.jpg,https://prod.danawa.com/info/?pcode=19948424
31477805,"Western Digital WD Blue 5400/64M (2TB, WD20EARZ)","HDD (PC용)/8.9cm(3.5인치)/2TB/SATA3(6Gb/s)/5,400RPM/메모리 64MB/180MB/s/기록방식:CMR(PMR)/두께:26.1mm/소음(유휴/탐색):21/26dB/A/S 정보:2년",https://img.danawa.com/prod_img/500000/805/477/img/31477805_1.jpg,https://prod.danawa.com/info/?pcode=31477805
