ID,Price
5764992,195660
5764951,185070
5173062,134300
5657614,129000
6545078,92900
33443276,82290
13522751,94980
42286460,202260
77788166,699000
77788115,599000
77788049,444780
9721383,178990
9721404,145000
5638941,109000
6452131,92420
9721698,100950
20033990,195980
19965044,141960
25936832,142990
17253821,87960
42286526,186940
67371260,284460
5639088,356990
13225835,303710
67371317,260800
1706996,85000
70770140,384490
70770143,306490
70770152,236500
70770158,167490
15765761,195150
3572596,74990
6288821,178990
6288809,101000
6288798,77000
80570033,311570
15687542,316500
15687641,219290
15687695,173040
1795206,129190
1790810,98490
12008966,189820
12008960,124370
3492869,142200
3474055,99000
6295629,394500
12834410,489000
12685619,488670
6054164,338200
68365535,279000
5931378,465000
2307187,215000
2307177,118990
3125334,74890
14785154,169720
19948424,166600
19948346,124550
13659284,124750
19948454,187200
14785235,131600
14785265,
7533853,85960
67371185,115100
78999002,610670
78999047,566780
80151281,523690
14852426,550500
68534528,285270
14852447,533600
14852477,931210
68365541,230450
14860733,255000
14733734,96250
17003267,205000
18406964,429000
2711325,56560
75536996,113600
72590651,92440
15271301,90900
15270644,60000
32889653,303900
30142289,304530
70770185,385030
79114532,316900
70770194,225180
70770203,181670
18542177,423400
75536957,241690
34817159,192000
2703466,60400
5271955,78960
76073489,630250
18772316,92830
14962418,541650
20188826,307100
14962541,308000
5487404,622300
2943760,138500
